CODE;NAME;STAT_ID;LAT;LON;ALT;NETWORK
1707;BIEVRE;410;49.94;5.012;376;CLIM TT
1708;SAINT-HUBERT;414;50.04;5.405;557;CLIM TT
1717;GIVRY;502;50.061;5.642;400;CLIM TT
1718;CHEOUX;189;50.216;5.468;270;CLIM TT
1719;MASSUL;601;49.878;5.504;470;CLIM TT
1721;MOMIGNIES;619;50.021;4.16;255;CLIM TT
1801;LACUISINE;431;49.712;5.324;298;CLIM TT
1804;AUBANGE;441;49.572;5.8;298;CLIM TT
1810;BUZENOL AWS;653;49.621;5.589;324;CLIM TT
1813;FRASSEM;459;49.701;5.826;388;CLIM TT
1814;MEIX-DEVANT-VIRTON;460;49.606;5.48;252;CLIM TT
1815;ROSSIGNOL;629;49.724;5.488;360;CLIM TT
